1927	1501
4414	7230
5794	7074
5615	3081
3868	7729
3578	8602
6793	8602
1738	8602
2119	7729
3488	2065
5889	2065
6836	598
6833	2065
6894	8601
5440	978
5170	8867
2938	2582
2314	6793
2348	6793
6653	6560
3463	979
1931	979
1944	979
1945	979
3792	979
4357	979
4398	979
4451	979
4744	979
4909	979
6026	979
6256	979
3522	979
2119	5207
3346	2072
1861	3065
2662	3065
4434	3065
4248	3065
2938	3065
2667	3065
2064	1492
2197	1492
6653	2072
4137	446
5004	4497
5010	4497
4585	4042
3570	4754
7023	4761
2700	4761
984	7544
2660	4497
3047	4395
3933	6909
5813	5513
2938	8954
912	3373
1756	7543
2113	6909
4585	8954
4584	8954
1878	6070
2872	6070
4336	6070
5445	6070
4991	6070
2050	6070
207	6070
5897	1063
7023	7952
1158	180
7042	3405
1007	1479
383	1479
4193	6219
3830	6219
4687	5335
6940	1479
973	1494
304	3406
409	3404
6835	9073
6977	7819
2938	7819
5532	3521
5534	3521
4546	7575
1158	7575
4083	3521
4974	3521
4952	3521
58	7750
430	7750
742	7750
3410	7750
3885	7750
5013	7750
5434	7750
6296	7750
6329	7750
166	7750
6653	2594
3782	7750
3785	7750
5203	1486
4687	7575
1861	2873
897	7478
4935	5967
2015	3521
4585	8501
6936	7280
6004	2522
3617	5919
2660	5796
6833	5461
6699	5461
7023	6950
1430	8649
1682	8650
6109	2666
2025	8650
2407	4599
5712	4599
767	5796
2305	5629
6058	753
6061	753
401	628
2204	4208
2190	4208
6632	8142
3405	3765
207	752
1011	6147
1760	6147
4182	6147
4223	6147
4270	6147
5021	6147
6263	6147
6962	6147
2016	3765
4582	3765
2097	7459
2098	7459
2016	6136
3306	7458
4181	2829
860	2829
2938	7457
860	2828
4181	2828
5280	3765
3726	223
4585	2827
2802	1785
3576	7795
4103	2106
4585	4064
2139	8317
2143	8317
1957	8833
1960	8833
6379	1367
2638	3840
5913	4826
1733	7839
2130	1367
6962	4051
5897	7607
3181	3279
1823	4052
785	4052
4314	8577
4585	8404
4927	7839
2571	8577
2305	4064
2379	4064
4208	8851
4181	104
6907	4055
185	4055
6833	1118
4649	7523
409	2695
4138	7100
6833	8626
4138	7098
6940	3375
867	8626
5309	8626
6441	7099
6403	3857
5897	3857
4959	5352
2611	4868
6202	6754
5136	939
4630	1025
2938	6863
3034	8989
6441	8989
924	4606
4137	4606
5620	8238
2130	4606
3433	555
207	1754
6168	1755
4353	4868
137	6812
136	6812
6894	8237
4224	6812
3418	4540
2343	3166
5556	3166
221	3166
5901	3166
963	3166
5998	3166
1861	3166
2342	3166
2660	8688
535	4541
5998	232
581	6417
5507	6417
2342	611
2343	611
5458	266
2468	1134
409	1134
3228	266
4126	7980
4201	7980
1452	6417
6219	1795
2305	1795
2793	266
5825	7980
1638	1795
2911	7980
2615	8496
5004	5117
5010	5117
2615	8495
2628	5117
4202	5482
4204	5482
2630	5482
5671	174
2421	7709
3998	7460
6962	6365
4966	7256
2615	4651
2608	4651
2600	4023
6582	4023
321	5481
1950	2074
2322	2074
3998	2074
908	5655
3858	5672
2465	4651
2342	6485
2343	6485
1821	1962
6962	1962
334	5246
2726	5246
1012	4484
973	4484
984	5247
2466	1287
4630	8341
2310	6473
5611	8407
2305	1287
5410	8341
1679	1287
470	627
6626	1822
1452	2679
4487	3708
2325	4203
409	7887
2793	3982
2932	8959
5166	3057
5611	7941
5998	165
5620	7941
984	4115
4706	3057
4708	3057
221	3057
2119	4115
3037	1818
2065	1818
3036	1818
5868	7941
3371	7941
2305	7941
6894	7941
2898	2292
6880	7269
7072	1818
7026	1818
4598	1314
2414	5807
1502	6091
6980	6091
1475	6091
6943	6091
4025	6091
5222	6091
556	6091
1757	6091
1687	6091
6904	6091
6926	6091
5566	6091
4583	6091
6833	1314
5897	8579
5010	8580
5339	3732
2921	7925
6811	8656
211	3490
4630	3732
7026	6564
6618	8657
506	8657
323	9010
2499	9010
2660	1200
6242	4285
2305	3157
6940	8655
103	7925
532	7925
654	7925
705	7925
1167	7925
1988	7925
2027	7925
2620	7925
4107	7925
6984	7925
7000	7925
5010	8578
6823	4285
1499	4285
6894	4285
3727	4285
7023	4861
2119	9214
2491	7274
5998	7274
6202	7274
6833	7274
4822	6786
5007	6785
7011	6706
3827	6706
627	6706
6962	5659
2759	3395
4435	5449
4434	5449
2305	6679
2508	6679
7023	6679
5007	6679
1378	4652
3388	4616
221	5449
1509	153
1182	153
2130	3395
434	8124
435	8124
5795	1980
3956	6592
1215	6024
4649	6135
5893	6135
1935	6025
2990	6025
422	4575
6833	6561
6956	2915
1433	2915
2435	4813
2451	4813
3164	4813
1003	2915
7121	7537
5663	2915
1870	702
1885	702
4434	7609
4031	8388
6833	2836
2305	2836
5998	2836
6962	7609
6911	7609
204	209
2119	4565
5175	7387
6543	7387
6204	7387
4585	8388
3933	8388
6833	8388
4466	7557
5620	6662
7023	865
3636	7321
3640	7321
2097	1227
6035	1227
2098	1227
5489	8031
257	8031
4630	6667
1369	1228
5825	8596
5893	8596
4630	1994
2406	6249
2408	6249
3392	6249
3059	3850
1861	7820
209	6677
2279	6660
4421	2550
5065	3663
954	3663
6984	3662
3392	7282
1871	9213
2320	9213
1877	9213
1447	5589
1477	5589
2523	5170
556	5170
5000	5170
639	5170
6480	5170
6943	5170
2806	5170
6904	5170
208	2549
5800	5170
6844	5590
3243	5448
208	5448
2305	7892
76	2801
973	7286
6844	5597
1848	2801
861	2801
1870	2801
1885	2801
1759	1749
5	7462
1633	2362
2675	2362
3733	2362
4108	2362
2855	2362
4754	2362
6005	2362
2097	2362
6904	2362
5000	2362
3229	2362
6943	2362
2523	2362
639	2362
5183	2362
6480	2362
608	2362
556	2362
5009	2362
130	2362
2098	2362
6474	2362
2420	2362
2855	2363
6005	2363
2097	2363
5000	2363
3229	2363
6480	2363
5450	7462
1826	3673
448	5678
3706	5678
447	5678
2916	5005
5411	1464
443	1225
968	1226
1158	2176
1324	1669
2088	1669
5903	2584
436	8444
2793	4133
2396	1670
3482	1670
3300	8391
5998	5005
5489	8444
2349	8389
6236	4973
2251	7661
994	6806
963	6806
995	6806
5237	3128
5897	7660
3418	7660
5489	3127
2660	790
3241	2883
5042	1487
5975	2119
2806	2119
5000	2119
6943	2119
639	2119
556	2119
6005	2119
2472	6958
6733	1422
6421	4865
6119	1334
2729	4869
5498	8163
4630	1333
3192	8163
3218	797
793	797
6127	1079
4615	1079
2548	7755
5656	7756
6220	7756
1502	796
2420	796
5222	796
5183	796
2855	796
6005	796
5009	796
639	796
1475	796
3517	4230
3516	4230
659	7659
1189	9270
5489	4336
860	2536
2614	6818
4630	9202
2679	9202
7118	3679
1418	1037
7052	982
2079	982
5748	983
4431	6803
6871	332
3418	332
5439	6529
3392	8368
106	8536
468	7352
257	8462
5774	6133
2025	8536
2486	6991
5791	6991
2485	6991
2487	6991
5026	4004
4187	5149
5920	5149
1888	5149
374	5150
443	5150
2342	9153
2343	9153
5186	1351
1165	216
1164	216
2342	8216
2343	8216
3392	1869
2454	1869
768	5903
2498	844
1924	6984
3392	1870
208	5903
659	6559
659	6558
4414	6100
3058	907
659	2048
4615	6993
6946	4306
4116	7752
6011	3912
5049	3912
1179	7845
4112	523
2305	3368
6984	3368
195	7356
2660	7844
2662	7844
2667	7844
754	3372
4103	2825
4463	7357
2025	3048
2660	8540
6914	3048
846	3048
7036	390
2660	389
6494	4952
473	4952
2641	4952
1169	7939
290	4382
6204	7938
1466	7938
1465	7938
5358	3859
5392	284
1006	1649
4822	3862
2199	8398
2614	9118
4794	1399
5903	7871
5903	5945
2590	3791
2339	576
2338	576
2237	1597
2250	1597
248	4144
250	4144
